genus	subgenus	group	species	host_group	host_family	host_genus	host_species	substrate	records	individuals	island	references	notes
Drosophila		haleakalae	bipolita	fungus	Basidiomycetes	gill fungus		fungus	1	13	O	12	
Drosophila		haleakalae	chicae	fungus	Basidiomycetes	fungus		fungus	1	14	H	21	
Drosophila		haleakalae	denotata	fungus	Basidiomycetes	fleshy fungus		fungus	1	14	O	8	
Drosophila		haleakalae	fungiperda	fungus	Basidiomycetes	Polyporus	sulphureus	fungus	1	40	H	11	
Drosophila		haleakalae	polita	fungus	Basidiomycetes	gill fungus		fungus	1	45	H	21	
Drosophila		haleakalae	nigella	fungus	Basidiomycetes	Polyporus	sulphureus	fungus	1	120	M	12	
Drosophila		haleakalae	luteola	fungus	Basidiomycetes	gill fungus		fungus	2	many	O	12	
Drosophila		hirtitarsus	10_ix_1964	fungus	Basidiomycetes	gill fungus		fungus	1	38	H	10	n. sp. rel. hirtitarsus in 12
Drosophila		hirtitarsus	goureaui	fungus	Basidiomycetes	bracket fungus		leaf	1	5	O	8	
Drosophila		mimica	mimica	fungus	Basidiomycetes	bracket fungus		fungus	1	1	H	12	
Drosophila		quadrisetae	tendomentum	fungus	Basidiomycetes	bracket and gill fungus		fungus	1	24	H	11,12	
Scaptomyza	Bunostoma		xanthopleura	fungus	Basidiomycetes	bracket fungus		fungus	1	2	O	8	
Drosophila		bridwelli	apicipuncta	fern	Blechnaceae	Sadleria		rachis	1	1	H	4	
